項目名稱,簡介,合資格類別,完成/預計 完成年份,項目總預算 (百萬港元),截至2024- 25年度的 開支 (百萬港元),獲分配的 綠債資金 (截至2025年 8月31日) (百萬港元) [按債券顯示]1,主要預期效益
西九龍雨水 排放系統改善 計劃–水塘間 轉運隧道計劃,興建一條由九龍副水塘至 下城門水塘的輸水隧道以及 進水口和排水口構築物，把 九龍水塘群收集的地面徑流 轉運至下城門水塘,水及廢水管理,2022,"1,222",682,682 [B2: 229 B3: 229 B4: 115 B8: 77 B28: 32],"•每年額外收集約340萬立方米食水
•每日額外處理3 340立方米污水 •預計將獲得綠建環評新建建築1.2版金級認證
•項目的節能裝置預計每年可節省15%的能源消耗量
•將會安裝24平方米的光伏板"
沙頭角污水 處理廠第1期擴 建工程,重建現時的沙頭角污水 處理廠，將每日處理量 由1 660立方米增加至5 000立方米，以及興建一條更大和更長的新海底 排放管，以改善沙頭角海的水質,水及廢水管理,2025,"2,041","1,317","1,317 [B2: 329",
啟德發展區 新增的區域 供冷系統,建造第二所啟德發展區區域 供冷系統，即大型高效節能的 中央空調系統，以應付該區 用戶建築物（包括新急症醫院 及啟德體育園）對製冷量需求 的預期增長,能源效益和 節約能源,2028,"4,269","2,801","2,801 [B3: 1,020 B4: 510 B5: 718 B21: 217 B22: 336]",•與氣冷式空調系統比較 能提升能源效益35% •每年節省5 300萬度電力 •每年避免或減少排放37 000公噸 二氧化碳當量的溫室氣體
消防處百勝角 已婚人員宿舍,建造五幢16至17層高的全新 宿舍樓宇，總建築樓面面積約 47 140平方米，以提供648個 部門宿舍單位及附屬設施,綠色建築,2021,"1,625","1,305","1,191 [B8: 1,174 B10: 14 B28: 3]",•獲得綠建環評新建建築2.0版 最終鉑金級認證 •二氧化碳減排量達到約13.1%
慈雲山香港 海關職員宿舍,建造一幢25層高的全新 宿舍樓宇，建築樓面面積約 13 300平方米，以提供175個 部門宿舍單位及附屬設施,綠色建築,2022,533,337,333 [B7: 331 B10: 2],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約30.5%
重置香港郵政 總部,建造一座樓高八層的全新 大樓，建築樓面面積約 25 750 平方米，以重置香港 郵政總部，以及設置部分外設 辦事處和一所新派遞局,綠色建築,2023,"1,601",968,968 [B6: 888 B28: 80],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約19.6%
葵涌醫院重建 工程第二期,在葵涌醫院的現有範圍內興建 新的主座和兒童及青少年座及 附屬設施，以配合現代化的精 神科護理服務模式,綠色建築,2025,"74,523","5,600","3,697 [B5: 1,009 B6: 1,250 B7: 696 B8: 401 B9: 341]",•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •二氧化碳減排量達到約13%
將軍澳第123區 寶琳路香港海 關職員宿舍,建造兩幢25至26層高的全新 宿舍樓宇，總建築樓面面積約 23 860平方米，以提供306個 部門宿舍單位及附屬設施,綠色建築,2024,"1,035",607,606 [B9: 449 B10: 65 B28: 92],•獲得綠建環評新建建築1.2版 暫定金級認證 •於公用區域採用自然通風， 令公用區域整體的風扇耗電量 與《建築物能源效益守則2018》 的標準相比減少55.9% •公用區域人工照明系統的耗電量 與《建築物能源效益守則2018》 的標準相比減少30% 以上
醫院管理局 支援服務中心,建造一座全新的支援服務 大樓，建築樓面面積約 52 540平方米，設有洗衣 工場、病人膳食中央食品 製作組、資訊科技機構數據 中心及中央應急儲備室， 以配合醫院管理局的需求,綠色建築,2024,"3,788","2,484","2,484 [B6: 2,061 B28: 423]",•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •項目的節能裝置預計每年可 節省5.5%的能源消耗量
水務署大樓及 懲教總部大樓,建造樓高15層的雙塔式全 新辦公大樓，淨作業樓面面 積約37 000平方米，以容納 水務署總部暨香港及離島 分署、懲教署總部、政府牙科 診所及公共停車場,綠色建築,2027,"3,253",689,689 [B9: 557 B35: 132],•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •二氧化碳減排量達到約23%
渠務大樓,建造一座樓高21層的全新 辦公大樓，淨作業樓面面積 約19 220 平方米，用作重置 渠務署及社會福利署設施,綠色建築,2025,"2,158","1,264","1,264 [B7: 517 B10: 603 B28: 144]",•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •二氧化碳減排量達到約16.7%
將軍澳政府 合署,建造樓高16至18層的全新 雙塔式大樓，淨作業樓面面 積約44 000平方米，以容納 多個政府部門及設施，包括 普通科門診診所、就業中心、 公務員診所和牙科診所，及為 政府僱員而設的幼兒中心,綠色建築,2025,"5,228","3,531","3,531 [B6: 1,790 B10: 860 B23: 367 B28: 514]",•預計將獲得綠建環評新建建築 1.2版金級或以上認證 •項目的節能裝置預計每年可 節省10.5%的能源消耗量
九龍、沙田及 西貢污水幹渠 修復工程,在九龍、沙田及西貢修復現有 四條長50米至一公里的污水 幹渠及另建污水幹渠，以減低 污水溢流的風險,水及廢水管理,2022,679,342,308 [B9: 292 B28: 16],•大幅降低污水從總長度為1.65 公里的污水幹渠溢出的風險 •於沙田及西貢建造的新污水幹 渠預計可提高污水輸送能力 •預計約90萬人可受惠
觀塘基本污水 處理廠改善 工程,優化基本污水處理廠，使每日 處理量由330 000立方米提升 至440 000立方米,水及廢水管理,2022,350,346,275 [B8: 271 B10: 4],•每日污水處理量增加 110 000立方米 •工場及泵房屋頂安裝了光伏板
九龍西部及 荃灣污水系統 改善工程－ 第1期,在荃灣及九龍西部建造全新或 優化現有的旱季截流器，用以 於旱季期間堵截受污染的雨水 並輸送至昂船洲污水處理廠作 適當的處理和排放,水及廢水管理,2022,277,142,115 [B9: 115],•預計每年在各自的排水系統 的總污染量會減少約七成
建造櫻桃街 箱形雨水渠 旱季截流器,於櫻桃街箱形雨水渠建造一個 地底旱季截流器（配備自動 水閘）；建造泵房、地底箱 形雨水繞道及地底雙管污水 泵喉，於旱季期間堵截受污染 的雨水並將之泵送至昂船洲 污水處理廠作適當的處理 和排放,水及廢水管理,2022,665,435,384 [B8: 341 B28: 43],•預計每年經櫻桃街箱形雨水渠 進入新油麻地避風塘的總污染量 會減少約七成 •泵房屋頂安裝了光伏板
活化翠屏河,利用環境、生態及園景美化 等改善工程將現有敬業街明 渠活化成翠綠和具活力的 「翠屏河」，並同時加強現有 明渠的排洪能力,水及廢水管理,2024,"1,342",996,996 [B5: 147 B6: 235 B7: 88 B8: 59 B9: 147 B28: 168 B35: 152],•長約一公里明渠的外觀和生態 環境得到改善 •約1.73公頃的河床得以活化 •減少排入河道的污染旱流 •加強河道的排洪能力
九龍西部及 荃灣污水系統 改善工程－ 第2期,改善九龍西部及荃灣的現有 污水收集系統，包括新鋪設約 14.5公里長的無壓污水渠及 更換現有約19公里長的無壓 污水渠，以應付污水量的預期 增長及減低因老化污水渠滲漏 而引致的污染風險,水及廢水管理,2026,"2,286",991,991 [B6: 644 B28: 347],•提高污水輸送能力 •降低污水滲漏和溢出的風險 •改善沿岸水質及緩解相關異味問題
元朗淨水設施 第1階段,重建部分現有元朗污水 處理廠，使污水處理量由 每日70 000 立方米增至 100 000 立方米，並預留空間 供日後建造污泥∕廚餘共厭氧 消化設施,水及廢水管理,2027,"6,950","3,235","3,192 [B5: 1,986 B10: 2 B28: 1,204]",•每日污水處理量增加 30 000立方米 •每年循環再用水235 000立方米 •淨化水的殘餘有機物 含量減少50% •大部分建築物屋頂將會安裝光伏板 •獲得綠建環評社區1.0版鉑金級 認證及新建建築1.2版暫定鉑金級 認證
小蠔灣濾水廠 擴展工程,提升小蠔灣濾水廠，使其每日 的濾水量由150 000立方米增 至300 000立方米，並相應提 高原水供應系統的輸水量,水及廢水管理,2027,"3,806","1,569","1,565 [B5: 985 B10: 537 B13: 43]",•每日濾水量增加150 000立方米
搬遷沙田污水 處理廠往岩洞,搬遷沙田污水處理廠往岩洞， 騰出廠房現址作創科發展和 其他有利民生及社會發展的 用途，以及改善廠房現址及 周邊的環境,水及廢水管理,2031,"19,916","4,830","4,485 [B5: 2,731 B13: 104 B20: 351 B21: 490 B22: 229 B28: 580]",•廠房現址及周邊的環境大幅改善 •有效加強氣味管理，惠及附近社區 •騰出約28公頃的土地，為社 區和經濟帶來多方面的益處 •處理後的污水會用於冷 卻設備，以節約能源 •上游污水收集系統的現有設備 得以提升（例如馬鞍山污水泵房 的容量將提升31.5%），使系統 能應付馬鞍山地區未來的潛在 發展，並保持系統的耐用性
石湖墟淨水 設施,重建現有石湖墟污水 處理廠，使污水處理量由 每日105 000立方米增加至 170 000立方米4，並將污水 處理水平提升至三級標準， 以升格為「石湖墟淨水設施」,水及廢水管理,2034,"11,973","3,260","3,260 [B7: 2,462 B23: 379 B24: 413 B25: 6]",•每日污水處理量增加 65 000立方米 •污水處理水平由二級提升至三級 •再生能源設備每年產生 3 400萬度電力5 •每年2 600萬立方米淨 化水作再造水之用 •服務人口約60萬 •獲得綠建環評新建建築1.2版 暫定鉑金級認證
古洞北新發展 區區域供冷 系統,於古洞北新發展區建造區域 供冷系統，即大型高效節能的 中央空調系統，以支持該區的 低碳發展,能源效益和 節約能源,2040,"5,788",604,604 [B7: 177 B14: 177 B28: 250],•與氣冷式空調系統比較能 提升能源效益約35% •每年節省4 200萬度電力 •每年避免或減少排放29 400公噸 二氧化碳當量的溫室氣體
綠在灣仔,於灣仔區設計及建造設施以 舉辦宣傳和教育的活動，以及 在社區收集和處理可回收物,廢物管理及 資源回收,2020,29,26,7 [B10: 3 B35: 4],•自2021年10月對外開放 •2024年全年接待了29 587名訪客 •2024年全年收集了超過645公噸 可回收物 •2024年全年舉辦了167場 教育活動
大埔第1區 體育館、社區 會堂及足球場,於約25 100平方米的項目 選址上建造全新的體育館及 游泳池、社區會堂、足球場及 附屬設施,綠色建築,2021,"2,163","1,474",972 [B10: 957 B28: 1 B35: 14],•獲得綠建環評新建建築 1.2版最終金級認證 •能源消耗量減少約 38.1%（體育館）及 43.2%（停車場）
屯門醫院 手術室大樓 擴建計劃,興建手術室大樓新翼，建築樓 面面積約21 982平方米，以 容納20 間手術室、深切治療 科及附設的支援區、與現有 手術室大樓的連接、新的機電 大樓和新增的危險品大樓， 以及擴充及翻新現有的設施和 大樓以便與新翼配合,綠色建築,2025,"2,730","1,910","1,455 [B10: 1,415 B28: 40]",•預計將獲得綠建環評新建建築 1.2版金級認證 •二氧化碳減排量達到約13.2%
北區社區健康 中心大樓,建造全新的聯用大樓，建築 樓面面積約31 000平方米， 設有社區健康中心、母嬰 健康院、學生健康服務中心、 長者健康中心、衞生署辦事處 及其他設施,綠色建築,2024,"1,780","1,434","1,334 [B10: 1,232 B28: 102]",•獲得綠建環評新建建築2.0版 最終鉑金級認證 •二氧化碳減排量達到約16.6%
鯉景道綜合 大樓,建造全新的綜合大樓，建築 樓面面積約12 180平方米， 以容納分區圖書館及其他設施,綠色建築,2025,674,356,186 [B10: 186],•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省10.5%的能源消耗量
啟德發展區 新急症醫院,興建一所全新的急症醫院， 包括五座大樓：急症大樓、 行政大樓、教學大樓、腫瘤科 大樓及專科門診大樓，總建 築樓面面積約573 595平方米,綠色建築,2026,"36,567","9,115","7,834 [B10: 7,016 B28: 818]",•獲得綠建環評新建建築1.2版 暫定鉑金級認證 •二氧化碳減排量達到約21.2%
觀塘污水泵房 優化工程,在觀塘污水泵房旁邊建造一個 容量為16 000立方米的地下 污水調節池，用來臨時儲存 觀塘基本污水處理廠繁忙時段 未能及時處理的過剩污水。 儲存的污水待非繁忙時段泵回 觀塘基本污水處理廠作進一步 處理。此項目旨在提升觀塘 污水泵房及觀塘基本污水處理 廠污水輸送系統的穩健性和 彈性,水及廢水管理,2022,"1,054","1,026",611 [B10: 611],•額外16 000立方米的 污水暫存容量 •污水泵房屋頂設有雨水收集 系統，預計每年可節省 862 000公升年灌溉需水量 •預計每年二氧化碳減 排量達到約29% •機房屋頂安裝了光伏板， 預計每日可產生80度電力 •獲得綠建環評新建建築1.2版
汀角路污水 泵房及污水 收集系統改善 工程,改善現有的大埔汀角路污水 收集系統，將污水處理量由 每日11 500立方米提升至 22 000立方米,水及廢水管理,2023,847,635,572 [B10: 572],暫定鉑金級認證 •每日污水處理量增加 10 500立方米 •預計約64 000人可受惠
上水及粉嶺新 房屋發展供水 計劃,建造食水配水庫和附屬幹管及 配水管，以改善上水及粉嶺已 規劃的新房屋發展計劃的食水 供應,水及廢水管理,2024,"1,700",999,896 [B10: 795 B29: 46 B33: 55],•食水配水庫的總容量 增加55 000立方米 •預計約16萬人可受惠
建設「智管網」,在全港建設「智管網」， 以監察食水分配管網的失水 情況，以便跟進,水及廢水管理,2025,"2,131","1,038",893 [B10: 770 B31: 107 B36: 16],•當項目及其他措施全面實施後， 政府水管的滲漏率將由2019年的 約15%降至2030年的10%以下
沙田濾水廠 原地重置工程 （南廠）,原地重置沙田濾水廠（南廠）， 以取代老化的處理設施及將 南廠的濾水量由每日 360 000立方米提升至每日 550 000立方米,水及廢水管理,2027,"8,827","4,985","3,765 [B10: 3,691 B22: 74]",•每日濾水量增加190 000立方米 •預計約30萬人可受惠
東涌新市鎮 擴展（東）區域 供冷系統,建造東涌新市鎮擴展（東）區 域供冷系統，以推廣能源效益 和節能。工程範圍包括建造 供冷站、鋪設冷凍水配水 管道、機電設備及為用戶 建築物提供接駁設施,能源效益和 節約能源,2034,"3,918",680,680 [B14: 680],•當供冷站全面啟用後，預計每年 可節省多達3 100萬度電，相等於 每年減少排放約21 500公噸 二氧化碳
立體空氣質素 監測網絡,新的立體空氣質素監測網絡 利用激光雷達系統（LiDAR）， 實時監測離地面達數公里上空 的空氣污染物濃度和氣象數據 的垂直及立體分布，有助追蹤 區域臭氧和懸浮粒子的軌跡， 加強對其來源和形成過程的 理解,污染預防及管控,2028,55,15,15 [B11: 12 B19: 1 B35: 2],•提供實時立體空氣數據，以補 傳統空氣質素監測站的不足 •加強了解區域空氣污染 物的形成和傳輸 •提高空氣質素模擬和預報的 能力和準確性 •為制定排放管理策略提供 更堅實和科學化的基礎
屯門污水幹渠 修復工程,沿天后路、龍門路及橫臥 屯門河修復現有約4.6公里長 的污水幹渠及在屯門建造長 約600米的新複設污水幹渠， 以減低污水溢出的風險,水及廢水管理,2023,807,517,446 [B11: 172 B19: 241 B30: 1 B35: 32],•大幅降低污水幹渠結構損壞 及污水從總長度為4.6公里 的污水幹渠溢出的風險 •預計約50萬人可受惠
九龍中部及 東部污水收集 系統改善工程－ 第3期,在尖沙咀修復長約450米的 現有污水渠，以及在九龍中部 及東部清拆及建造長約7公里 的污水渠，以減低污水溢出的 風險,水及廢水管理,2024,681,445,415 [B11: 174 B15: 100 B17: 141],•大幅降低污水從總長度為 7.5公里的污水渠溢出的風險 •建造長約7公里的無壓污水渠 預計可提高污水輸送能力 •預計約80萬人可受惠
長洲污水 處理及排放 改善工程,改善現有長洲污水處理廠， 把該廠的處理能力由每天 4 000立方米增至每天 9 800立方米，並把處理水 平由一級提升至二級，以及 改善現有北社污水泵房，把 該泵房的處理能力由每天29 000立方米增至每天,水及廢水管理,2026,"2,607","1,031","1,031 [B12: 1,031]","•長洲污水處理廠的每日污水 處理量增加5 800立方米 •污水處理水平由一級提升至二級 •預計約多16 000人可受惠
•將會安裝光伏板於部分建築物屋頂"
南丫鄉村污水 收集系統第2期 第2部分,為南丫島七個未有污水設施的42 000立方米鄉村地區及洪聖爺灣泳灘建造 公共污水收集系統,水及廢水管理,2026,503,164,164 [B18: 164],•每日額外處理820立方米污水 •預計約2 000人及大量前 往泳灘的人士可受惠
元朗污水主幹 泵喉建造及 修復工程,在天福路及宏樂街之間分別 新建一條長約3.7公里及修復 現有長約3.7公里的加壓 污水管,水及廢水管理,2026,886,378,378 [B18: 378],•提高有關污水系統服務的穩定性 •預計約28萬人可受惠
油塘污水主幹 泵喉建造及 修復工程,在油塘污水泵房及觀塘基本 污水處理廠之間分別新建一條 長約3.1公里及修復現有長約 2.5公里的加壓污水管,水及廢水管理,2026,621,256,256 [B16: 256],•提高有關污水系統服務的穩定性 •預計約18萬人可受惠
䃟石灣污水 處理廠及貝澳 污水收集系統,在南大嶼山䃟石灣建造 座設計處理量為每日 5 800立方米的污水 處理廠，興建約1.4公里長 的海底排放管以排放 淨化水，及在貝澳建造 污水幹渠和鄉村污水 收集系統,水及廢水管理,2026,"1,689",621,621 [B13: 621],•每日額外處理5 800立方米污水 •預計約13 000人可受惠 •將會於䃟石灣污水處理廠安裝 光伏板，預計每年可產生 83 220度電力 •每年約9 500立方米淨化水作 再造水之用
上水及粉嶺 再造水供應 工程,建造石湖墟再造水廠，在上水 及粉嶺的東北地區鋪設約 25公里長的輸水管及分配 水管和進行相關的水管接駁 工程，為上水和粉嶺地區提供 再造水,水及廢水管理,2026,"1,256",702,702 [B14: 675 B32: 27],•每日再造水產量最終可 達73 000立方米 •擴大使用次階水（即海水及循 環再用水）作非飲用用途，以確 保食水資源得以可持續使用 •預計最終每年可節省約 2 200萬立方米食水
長沙灣天主教 小學校舍,建造一所全新五層高設有 30間課室的小學，建築樓面 面積約10 000平方米，以 重置白田天主教小學,綠色建築,2021,346,266,214 [B15: 214],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約21.15%
救世軍中原 慈善基金皇后 山學校校舍,建造一所設有30間課室的 小學，建築樓面面積約 11 255平方米，以應付北區 預計的公營小學學位需求,綠色建築,2021,386,257,214 [B15: 214],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約25.11%
東華三院曾憲備 小學校舍,建造一所設有30間課室的 小學，建築樓面面積約 11 469平方米，以應付北區 預計的公營小學學位需求,綠色建築,2021,387,248,212 [B15: 212],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約37.2%
東華三院蔡榮星 小學校舍,在沙田水泉澳興建一所設有 30間課室的小學，建築樓面 面積約10 998平方米，以應 付沙田區預期對公營小學學位 的長遠需求,綠色建築,2022,363,342,340 [B15: 340],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約24.2%
瑪利諾中學 校舍,建造一所全新八層高並設 有30間課室的中學，建築 樓面面積約13 300平方米， 以重置瑪利諾中學,綠色建築,2022,435,296,289 [B15: 289],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約22.05%
沙宣道3號教學 大樓,興建一座全新八層高的教學 大樓，提供約10 400 平方 米淨作業樓面面積，以遷移 香港大學李嘉誠醫學院下部份 舊樓內多項教學和研究設施,綠色建築,2022,811,782,687 [B17: 687],•獲得綠建環評新建建築1.2版 暫定鉑金級認證 •能源消耗量減少約14.5%
消防處西九龍 綜合大樓,建造一座總建築樓面面積約 20 110 平方米的全新大樓， 以遷移尖沙咀消防局行動支援 設施、消防同樂會及消防處 其他設施,綠色建築,2024,981,680,680 [B17: 680],•獲得綠建環評新建建築1.2版 暫定金級認證 •項目的節能裝置預計每年可 節省10.9%的能源消耗量
啟德發展區的 動物管理及 動物福利綜合 大樓,在啟德發展區興建一座全新 的動物管理及動物福利綜合 大樓，建築樓面面積為 21 316平方米，以保障和 促進動物福利、控制本地動物 疾病、保障公眾健康及加強 動物管理措施,綠色建築,2024,882,714,714 [B17: 714],•獲得綠建環評新建建築1.2版 金級認證 二氧化碳減排量達到約46.3%
啟德體育園,設計、興建及營運一座全新 的體育基礎設施，設有 50 000個座位的主場館、 10 000個座位的室內體育館、 5 000個座位的公眾運動場， 約14公頃的園景休憩空間 及其他配套設施。總建築 樓面面積約為567 000平方米,綠色建築,2025,"31,898","27,671","25,365 [B10: 564 B11: 3,098 B12: 6,533 B15: 4,820 B16: 1,349 B17: 3,433 B18: 5,012 B19: 556]",•獲得綠建環評社區1.0版 鉑金級認證 •啟德青年運動場獲得綠建環評 新建建築1.2版最終鉑金級認證 •主場館及室內體育館獲得綠建環 評新建建築1.2版暫定鉑金級認證 •主場館不同區域的能源消耗 量減少約15.8%至61.8% •室內體育館不同區域的能源消 耗量減少約19.3%至36.4% •公眾運動場的能源消耗 量減少約21.5%
將軍澳第72區 消防局暨 救護站、部門 宿舍及消防 設施,興建一座樓高17層的 大樓，建築樓面面積為 16 026平方米，以容納 消防局暨救護站、部門宿舍 及消防處的其他設施,綠色建築,2025,655,405,405 [B11: 405],•獲得綠建環評新建建築2.0版 暫定金級認證 •項目的節能裝置預計每年可 節省5.5%的能源消耗量
葛量洪醫院 重建計劃 第一期,建造兩座分別樓高14層的 醫療大樓及13層的大學科 研大樓，總建築樓面面積為 149 655平方米，以容納住院 病房、日間醫療設施、腫瘤 科中心、手術室、臨床創新及 研發中心和癌症綜合關護 研究所等,綠色建築,2026,"11,538","1,842","1,795 [B16: 1,795]",•獲得綠建環評新建建築2.0版 暫定金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
聖母醫院重建 計劃,在聖母醫院興建一座新醫院 大樓，總建築樓面面積約為 58 700 平方米，以提升聖母 醫院的醫療服務能力,綠色建築,2028,"4,544",568,553 [B13: 289 B16: 264],•獲得綠建環評新建建築1.2版 暫定金級認證 •二氧化碳減排量達到約14.7%
基督教聯合 醫院擴建計劃,（i）興建一 座新日間醫院 大樓，總建築樓面面積約為 170 500 平方米，及（ii）興建 S座的新翼大樓和輔助 機電工程大樓，總建築樓面 面積約為43 750 平方米，以 提升聯合醫院的醫療服務能力,綠色建築,2029,"18,358","8,133","6,225 [B13: 5,606 B15: 12 B16: 352 B18: 128 B22: 127]",•獲得綠建環評新建建築1.1版 暫定金級認證 •項目的節能裝置預計每年可 節省不少於10%的能源消耗量
威爾斯親王 醫院重建計劃 第二期（第一 階段）,建造一座住院新翼大樓， 總建築樓面面積約為 300 000平方米，提供各項 主要醫療設施,綠色建築,2029,"24,935","3,462","2,854 [B13: 289 B14: 2,333 B20: 25 B21: 159 B34: 48]",•獲得綠建環評新建建築1.2版 暫定金級認證 二氧化碳減排量達到約30.9%
更換大帽山的 風暴探測天氣 雷達,在大帽山設置新的風暴探測 天氣雷達以取替現時已運作 逾20年的雷達,適應氣候變化,2024,48,33,33 [B11: 29 B19: 2 B35: 2],•新的風暴探測天氣雷達主要用於 監測與惡劣天氣相關的大雨和 強風，讓香港天文台能夠適時 發布熱帶氣旋、雷暴、暴雨、 水浸及山泥傾瀉的預報和警告 •適時和可靠的天氣預報及 警告有助減少惡劣天氣造成的 人命傷亡及財產損失，以及 減低對社會及經濟活動的影響
香港天文台 高性能電腦 系統,購置一台高性能電腦系統， 讓天文台繼續為香港提供優質 天氣服務，並加強對本港具 高影響的天氣的預報能力,適應氣候變化,2025,90,64,64 [B18: 63 B19: 1],•更高的電腦運算能力能為香港 提供最少未來五天更詳盡的 本地天氣預測，和更精細分辨 率的預測可延長至24小時 •加強支援有關高影響天氣的 概率預報 •透過與香港國際機場現有的 高性能電腦系統共同運行，提升 為航空界別等特殊用戶在惡劣 天氣下的飛機航跡提供概率預報
地下雨水渠 修復工程,於全港勘測約90公里及修復 約41公里的地下雨水渠及 相關沙井,適應氣候變化,2025,"1,341",666,658 [B12: 213 B13: 180 B15: 46 B16: 130 B17: 89],•減低雨水渠塌陷風險 •確保雨水排放（防洪） 系統運作正常
大埔滘污水 泵喉建造及 修復工程,建造約600米長、直徑 300毫米，連接大埔滘污水 泵房至南運路的污水收集系統 的雙管污水泵喉,水及廢水管理,2023,108,95,95 [B27: 95],•提高有關污水系統服務的穩定性 及防止因污水渠滲漏而引致的 污染風險 •預計約11 000人可受惠
